Adjusted for Inflation Title,Adjusted for Inflation Notes,Year Date,Format Value # (Billion),Format Value # (Million),Adjusted for Inflation Flag,Total Value For Year,Value (For Charting),Format,Metric,Number of Records,Year,Value (Actual),Total Value # (Billion),Total Value # (Million),Year (copy)
,,1983,,$17.2M,,$374490.0B,17.2,CD,Value,1,1983,17.2,$374.5B,,1983
,,1984,,$103.3M,,$374490.0B,103.3,CD,Value,1,1984,103.3,$374.5B,,1984
,,1985,,$389.5M,,$374490.0B,389.5,CD,Value,1,1985,389.5,$374.5B,,1985
,,1986,,$930.1M,,$374490.0B,930.1,CD,Value,1,1986,930.1,$374.5B,,1986
,,1987,$1.6B,,,$374490.0B,1593.6,CD,Value,1,1987,1593.6,$374.5B,,1987
,,1988,$2.1B,,,$374490.0B,2089.9,CD,Value,1,1988,2089.9,$374.5B,,1988
,,1989,$2.6B,,,$374490.0B,2587.7,CD,Value,1,1989,2587.7,$374.5B,,1989
,,1990,$3.5B,,,$374490.0B,3451.6,CD,Value,1,1990,3451.6,$374.5B,,1990
,,1991,$4.3B,,,$374490.0B,4337.7,CD,Value,1,1991,4337.7,$374.5B,,1991
,,1992,$5.3B,,,$374490.0B,5326.5,CD,Value,1,1992,5326.5,$374.5B,,1992
,,1993,$6.5B,,,$374490.0B,6511.4,CD,Value,1,1993,6511.4,$374.5B,,1993
,,1994,$8.5B,,,$374490.0B,8464.5,CD,Value,1,1994,8464.5,$374.5B,,1994
,,1995,$9.4B,,,$374490.0B,9377.4,CD,Value,1,1995,9377.4,$374.5B,,1995
,,1996,$9.9B,,,$374490.0B,9934.7,CD,Value,1,1996,9934.7,$374.5B,,1996
,,1997,$9.9B,,,$374490.0B,9915.1,CD,Value,1,1997,9915.1,$374.5B,,1997
,,1998,$11.4B,,,$374490.0B,11416,CD,Value,1,1998,11416,$374.5B,,1998
,,1999,$12.8B,,,$374490.0B,12816.3,CD,Value,1,1999,12816.3,$374.5B,,1999
,,2000,$13.2B,,,$374490.0B,13214.5,CD,Value,1,2000,13214.5,$374.5B,,2000
,,2001,$12.9B,,,$374490.0B,12909.4,CD,Value,1,2001,12909.4,$374.5B,,2001
,,2002,$12.0B,,,$374490.0B,12044.1,CD,Value,1,2002,12044.1,$374.5B,,2002
,,2003,$11.2B,,,$374490.0B,11232.9,CD,Value,1,2003,11232.9,$374.5B,,2003
,,2004,$11.4B,,,$374490.0B,11446.5,CD,Value,1,2004,11446.5,$374.5B,,2004
,,2005,$10.5B,,,$374490.0B,10520.2,CD,Value,1,2005,10520.2,$374.5B,,2005
,,2006,$9.4B,,,$374490.0B,9372.6,CD,Value,1,2006,9372.6,$374.5B,,2006
,,2007,$7.5B,,,$374490.0B,7452.3,CD,Value,1,2007,7452.3,$374.5B,,2007
,,2008,$5.5B,,,$374490.0B,5471.3,CD,Value,1,2008,5471.3,$374.5B,,2008
,,2009,$4.3B,,,$374490.0B,4318.8,CD,Value,1,2009,4318.8,$374.5B,,2009
,,2010,$3.4B,,,$374490.0B,3389.4,CD,Value,1,2010,3389.4,$374.5B,,2010
,,2011,$3.1B,,,$374490.0B,3100.7,CD,Value,1,2011,3100.7,$374.5B,,2011
,,2012,$2.5B,,,$374490.0B,2485.614699086,CD,Value,1,2012,2485.614699086,$374.5B,,2012
,,2013,$2.1B,,,$374490.0B,2140.917718167,CD,Value,1,2013,2140.917718167,$374.5B,,2013
,,2014,$1.8B,,,$374490.0B,1776.249323795,CD,Value,1,2014,1776.249323795,$374.5B,,2014
,,2015,$1.4B,,,$374490.0B,1444.993193529,CD,Value,1,2015,1444.993193529,$374.5B,,2015
,,2016,$1.1B,,,$374490.0B,1130.764650638,CD,Value,1,2016,1130.764650638,$374.5B,,2016
,,2017,$1.1B,,,$374490.0B,1057.323090205,CD,Value,1,2017,1057.323090205,$374.5B,,2017
,,2018,,$698.4M,,$374490.0B,698.386637244,CD,Value,1,2018,698.386637244,$374.5B,,2018
,,2019,,$614.5M,,$374490.0B,614.509779894,CD,Value,1,2019,614.509779894,$374.5B,,2019
,,1988,,$9.8M,,$374490.0B,9.8,CD Single,Value,1,1988,9.8,$374.5B,,1988
,,1990,,$6.0M,,$374490.0B,6,CD Single,Value,1,1990,6,$374.5B,,1990
,,1991,,$35.1M,,$374490.0B,35.1,CD Single,Value,1,1991,35.1,$374.5B,,1991
,,1992,,$45.1M,,$374490.0B,45.1,CD Single,Value,1,1992,45.1,$374.5B,,1992
,,1993,,$45.8M,,$374490.0B,45.8,CD Single,Value,1,1993,45.8,$374.5B,,1993
,,1994,,$56.1M,,$374490.0B,56.1,CD Single,Value,1,1994,56.1,$374.5B,,1994
,,1995,,$110.9M,,$374490.0B,110.9,CD Single,Value,1,1995,110.9,$374.5B,,1995
